#,Module,RBAC,Locks,Tags,Diag,PE,CMK,CMK-mHSM,Identity
1,res/aad/domain-service,✅,✅,✅,✅,,,,
2,res/alerts-management/action-rule,✅,✅,✅,,,,,
3,res/analysis-services/server,✅,✅,✅,✅,,,,
4,res/api-management/service,✅,✅,✅,✅,✅,,,✅
5,res/app-configuration/configuration-store,✅,✅,✅,✅,✅,✅,,✅
6,res/app/container-app,✅,✅,✅,✅,,,,✅
7,res/app/job,✅,✅,✅,,,,,✅
8,res/app/managed-environment,✅,✅,✅,,,,,✅
9,res/app/session-pool,✅,✅,✅,,,,,✅
10,res/authorization/policy-assignment,,,,,,,,
11,res/authorization/role-assignment,,,,,,,,
12,res/automation/automation-account,✅,✅,✅,✅,✅,✅,,✅
13,res/azure-stack-hci/cluster,✅,,✅,,,,,
14,res/azure-stack-hci/logical-network,✅,,✅,,,,,
15,res/azure-stack-hci/marketplace-gallery-image,✅,,✅,,,,,
16,res/azure-stack-hci/network-interface,✅,,✅,,,,,
17,res/azure-stack-hci/virtual-hard-disk,✅,,✅,,,,,
18,res/azure-stack-hci/virtual-machine-instance,✅,,,,,,,
19,res/batch/batch-account,✅,✅,✅,✅,✅,✅,,✅
20,res/cache/redis,✅,✅,✅,✅,✅,,,✅
21,res/cache/redis-enterprise,✅,✅,✅,✅,✅,✅,✅,✅
22,res/cdn/profile,✅,✅,✅,✅,,,,✅
23,res/cognitive-services/account,✅,✅,✅,✅,✅,✅,,✅
24,res/communication/communication-service,✅,✅,✅,✅,,,,✅
25,res/communication/email-service,✅,✅,✅,,,,,
26,res/compute/availability-set,✅,✅,✅,,,,,
27,res/compute/disk,✅,✅,✅,,,,,
28,res/compute/disk-encryption-set,✅,✅,✅,,,✅,✅,✅
29,res/compute/gallery,✅,✅,✅,,,,,
30,res/compute/image,✅,,✅,,,,,
31,res/compute/proximity-placement-group,✅,✅,✅,,,,,
32,res/compute/ssh-public-key,✅,✅,✅,,,,,
33,res/compute/virtual-machine,✅,✅,✅,,,,,✅
34,res/compute/virtual-machine-scale-set,✅,✅,✅,✅,,,,✅
35,res/consumption/budget,,,,,,,,
36,res/container-instance/container-group,,✅,✅,,,✅,,✅
37,res/container-registry/registry,✅,✅,✅,✅,✅,✅,,✅
38,res/container-service/managed-cluster,✅,✅,✅,✅,,,,✅
39,res/data-factory/factory,✅,✅,✅,✅,✅,✅,✅,✅
40,res/data-protection/backup-vault,✅,✅,✅,,,✅,,✅
41,res/databricks/access-connector,✅,✅,✅,,,,,✅
42,res/databricks/workspace,✅,✅,✅,✅,✅,✅,✅,
43,res/db-for-my-sql/flexible-server,✅,✅,✅,✅,✅,✅,,✅
44,res/db-for-postgre-sql/flexible-server,✅,✅,✅,✅,✅,✅,✅,✅
45,res/desktop-virtualization/application-group,✅,✅,✅,✅,,,,
46,res/desktop-virtualization/host-pool,✅,✅,✅,✅,✅,,,
47,res/desktop-virtualization/scaling-plan,✅,✅,✅,✅,,,,
48,res/desktop-virtualization/workspace,✅,✅,✅,✅,✅,,,
49,res/dev-center/devcenter,✅,✅,✅,✅,,,,✅
50,res/dev-center/network-connection,✅,✅,✅,,,,,
51,res/dev-center/project,✅,✅,✅,,,,,✅
52,res/dev-ops-infrastructure/pool,✅,✅,✅,✅,,,,✅
53,res/dev-test-lab/lab,✅,✅,✅,,,,,✅
54,res/digital-twins/digital-twins-instance,✅,✅,✅,✅,✅,,,✅
55,res/document-db/database-account,✅,✅,✅,✅,✅,,,✅
56,res/document-db/mongo-cluster,✅,✅,✅,✅,✅,,,
57,res/elastic-san/elastic-san,✅,✅,✅,✅,,,,
58,res/event-grid/domain,✅,✅,✅,✅,✅,,,✅
59,res/event-grid/namespace,✅,✅,✅,✅,✅,,,✅
60,res/event-grid/system-topic,✅,✅,✅,✅,,,,✅
61,res/event-grid/topic,✅,✅,✅,✅,✅,,,✅
62,res/event-hub/namespace,✅,✅,✅,✅,✅,✅,✅,✅
63,res/fabric/capacity,,✅,✅,,,,,
64,res/health-bot/health-bot,✅,✅,✅,,,,,✅
65,res/healthcare-apis/workspace,✅,✅,✅,,,,,
66,res/hybrid-compute/gateway,,✅,✅,,,,,
67,res/hybrid-compute/license,,,✅,,,,,
68,res/hybrid-compute/machine,✅,✅,✅,,,,,
69,res/hybrid-container-service/provisioned-cluster-instance,,,✅,,,,,
70,res/insights/action-group,✅,✅,✅,,,,,
71,res/insights/activity-log-alert,✅,✅,✅,,,,,
72,res/insights/component,✅,✅,✅,✅,,,,
73,res/insights/data-collection-endpoint,✅,✅,✅,,,,,
74,res/insights/data-collection-rule,✅,✅,✅,,,,,✅
75,res/insights/diagnostic-setting,,,,,,,,
76,res/insights/metric-alert,✅,✅,✅,,,,,
77,res/insights/private-link-scope,✅,✅,✅,,✅,,,
78,res/insights/scheduled-query-rule,✅,✅,✅,,,,,✅
79,res/insights/webtest,✅,✅,✅,,,,,
80,res/key-vault/vault,✅,✅,✅,✅,✅,,,
81,res/kubernetes-configuration/extension,,,,,,,,
82,res/kubernetes-configuration/flux-configuration,,,,,,,,
83,res/kubernetes-runtime/load-balancer,,,,,,,,
84,res/kubernetes/connected-cluster,✅,,✅,,,,,
85,res/kusto/cluster,✅,✅,✅,✅,✅,✅,,✅
86,res/load-test-service/load-test,✅,✅,✅,,,✅,,✅
87,res/logic/workflow,✅,✅,✅,✅,,,,✅
88,res/machine-learning-services/registry,✅,✅,✅,,✅,,,✅
89,res/machine-learning-services/workspace,✅,✅,✅,✅,✅,✅,,✅
90,res/maintenance/configuration-assignment,,,,,,,,
91,res/maintenance/maintenance-configuration,✅,✅,✅,,,,,
92,res/managed-identity/user-assigned-identity,✅,✅,✅,,,,,
93,res/managed-services/registration-definition,,,,,,,,
94,res/management/management-group,,,,,,,,
95,res/management/service-group,✅,✅,,,,,,
96,res/maps/account,✅,,✅,,,✅,,✅
97,res/net-app/net-app-account,✅,✅,✅,,,✅,,✅
98,res/network/application-gateway,✅,✅,✅,✅,✅,,,✅
99,res/network/application-gateway-web-application-firewall-policy,,,✅,,,,,
100,res/network/application-security-group,✅,✅,✅,,,,,
101,res/network/azure-firewall,✅,✅,✅,✅,,,,
102,res/network/bastion-host,✅,✅,✅,✅,,,,
103,res/network/connection,,✅,✅,,,,,
104,res/network/ddos-protection-plan,✅,✅,✅,,,,,
105,res/network/dns-forwarding-ruleset,✅,✅,✅,,,,,
106,res/network/dns-resolver,✅,✅,✅,,,,,
107,res/network/dns-zone,✅,✅,✅,,,,,
108,res/network/express-route-circuit,✅,✅,✅,✅,,,,
109,res/network/express-route-gateway,✅,✅,✅,,,,,
110,res/network/express-route-port,✅,✅,✅,,,,,✅
111,res/network/firewall-policy,✅,✅,✅,,,,,✅
112,res/network/front-door,✅,✅,✅,✅,,,,
113,res/network/front-door-web-application-firewall-policy,✅,✅,✅,,,,,
114,res/network/ip-group,✅,✅,✅,,,,,
115,res/network/load-balancer,✅,✅,✅,✅,,,,
116,res/network/local-network-gateway,✅,✅,✅,,,,,
117,res/network/nat-gateway,✅,✅,✅,,,,,
118,res/network/network-interface,✅,✅,✅,✅,,,,
119,res/network/network-manager,✅,✅,✅,,,,,
120,res/network/network-security-group,✅,✅,✅,✅,,,,
121,res/network/network-security-perimeter,✅,✅,✅,✅,,,,
122,res/network/network-watcher,✅,✅,✅,,,,,
123,res/network/p2s-vpn-gateway,,✅,✅,,,,,
124,res/network/private-dns-zone,✅,✅,✅,,,,,
125,res/network/private-endpoint,✅,✅,✅,,,,,
126,res/network/private-link-service,✅,✅,✅,,,,,
127,res/network/public-ip-address,✅,✅,✅,✅,,,,
128,res/network/public-ip-prefix,✅,✅,✅,,,,,
129,res/network/route-table,✅,✅,✅,,,,,
130,res/network/service-endpoint-policy,✅,✅,✅,,,,,
131,res/network/trafficmanagerprofile,✅,✅,✅,✅,,,,
132,res/network/virtual-hub,,✅,✅,,,,,
133,res/network/virtual-network,✅,✅,✅,✅,,,,
134,res/network/virtual-network-gateway,✅,✅,✅,✅,,,,
135,res/network/virtual-wan,✅,✅,✅,,,,,
136,res/network/vpn-gateway,,✅,✅,,,,,
137,res/network/vpn-server-configuration,,✅,✅,,,,,
138,res/network/vpn-site,✅,✅,✅,,,,,
139,res/operational-insights/cluster,✅,✅,✅,,,✅,✅,✅
140,res/operational-insights/workspace,✅,✅,✅,✅,,,,✅
141,res/operations-management/solution,,,,,,,,
142,res/portal/dashboard,✅,✅,✅,,,,,
143,res/power-bi-dedicated/capacity,✅,✅,✅,,,,,
144,res/purview/account,✅,✅,✅,✅,,,,✅
145,res/recovery-services/vault,✅,✅,✅,✅,✅,✅,✅,✅
146,res/relay/namespace,✅,✅,✅,✅,✅,,,
147,res/resource-graph/query,✅,✅,✅,,,,,
148,res/resources/deployment-script,✅,✅,✅,,,,,✅
149,res/resources/resource-group,✅,✅,✅,,,,,
150,res/search/search-service,✅,✅,✅,✅,✅,,,✅
151,res/security-insights/data-connector,,,,,,,,
152,res/security-insights/setting,✅,,,,,,,
153,res/service-bus/namespace,✅,✅,✅,✅,✅,✅,,✅
154,res/service-fabric/cluster,✅,✅,✅,,,,,
155,res/service-networking/traffic-controller,✅,✅,✅,✅,,,,
156,res/signal-r-service/signal-r,✅,✅,✅,✅,✅,,,✅
157,res/signal-r-service/web-pub-sub,✅,✅,✅,,✅,,,✅
158,res/sql/instance-pool,,,✅,,,,,
159,res/sql/managed-instance,✅,✅,✅,✅,,,,✅
160,res/sql/server,✅,✅,✅,,✅,✅,✅,✅
161,res/storage/storage-account,✅,✅,✅,✅,✅,✅,✅,✅
162,res/synapse/private-link-hub,✅,✅,✅,,✅,,,
163,res/synapse/workspace,✅,✅,✅,✅,✅,✅,,✅
164,res/virtual-machine-images/image-template,✅,✅,✅,,,,,✅
165,res/web/connection,✅,✅,✅,,,,,
166,res/web/hosting-environment,✅,✅,✅,✅,,,,✅
167,res/web/serverfarm,✅,✅,✅,✅,,,,
168,res/web/site,✅,✅,✅,✅,✅,,,✅
169,res/web/static-site,✅,✅,✅,,✅,,,✅
Sum,,145,143,154,66,39,25,10,65
