ProviderNamespace,ResourceType,ModuleDisplayName,ModuleName,ModuleStatus,RepoURL,RegistryURL,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description
Microsoft.AAD,domainServices,Azure Active Directory Domain Services,avm-res-aad-domainservice,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/aad/domainservice,,46d3xbcp.res.aad-domainservice,,,@azure/avm-res-aad-domainservice-module-owners-bicep,@azure/avm-res-aad-domainservice-module-contributors-bicep,
Microsoft.AnalysisServices,servers,Analysis Services Servers,avm-res-analysisservices-server,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/analysisservices/server,,46d3xbcp.res.analysisservices-server,,,@azure/avm-res-analysisservices-server-module-owners-bicep,@azure/avm-res-analysisservices-server-module-contributors-bicep,
Microsoft.ApiManagement,service,API Management Services,avm-res-apimanagement-service,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/apimanagement/service,,46d3xbcp.res.apimanagement-service,,,@azure/avm-res-apimanagement-service-module-owners-bicep,@azure/avm-res-apimanagement-service-module-contributors-bicep,
Microsoft.App,containerApps,Container Apps,avm-res-app-containerapp,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/app/containerapp,,46d3xbcp.res.app-containerapp,,,@azure/avm-res-app-containerapp-module-owners-bicep,@azure/avm-res-app-containerapp-module-contributors-bicep,
Microsoft.App,managedEnvironments,App ManagedEnvironments,avm-res-app-managedenvironment,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/app/managedenvironment,,46d3xbcp.res.app-managedenvironment,,,@azure/avm-res-app-managedenvironment-module-owners-bicep,@azure/avm-res-app-managedenvironment-module-contributors-bicep,
Microsoft.AppConfiguration,configurationStores,App Configuration Stores,avm-res-appconfiguration-configurationstore,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/appconfiguration/configurationstore,,46d3xbcp.res.appconfiguration-configurationstore,elbatane,Elena Batanero,@azure/avm-res-appconfiguration-configurationstore-module-owners-bicep,@azure/avm-res-appconfiguration-configurationstore-module-contributors-bicep,
Microsoft.Authorization,locks,Authorization Locks (All scopes),avm-res-authorization-lock,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/authorization/lock,,46d3xbcp.res.authorization-lock,ahmadabdalla,Ahmad Abdalla,@azure/avm-res-authorization-lock-module-owners-bicep,@azure/avm-res-authorization-lock-module-contributors-bicep,
Microsoft.Authorization,policyAssignments,Policy Assignments (All scopes),avm-res-authorization-policyassignment,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/authorization/policyassignment,,46d3xbcp.res.authorization-policyassignment,elanzel,Elisa Anzelmo,@azure/avm-res-authorization-policyassignment-module-owners-bicep,@azure/avm-res-authorization-policyassignment-module-contributors-bicep,
Microsoft.Authorization,policyDefinitions,Policy Definitions (All scopes),avm-res-authorization-policydefinition,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/authorization/policydefinition,,46d3xbcp.res.authorization-policydefinition,elanzel,Elisa Anzelmo,@azure/avm-res-authorization-policydefinition-module-owners-bicep,@azure/avm-res-authorization-policydefinition-module-contributors-bicep,
Microsoft.Authorization,policyExemptions,Policy Exemptions (All scopes),avm-res-authorization-policyexemption,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/authorization/policyexemption,,46d3xbcp.res.authorization-policyexemption,elanzel,Elisa Anzelmo,@azure/avm-res-authorization-policyexemption-module-owners-bicep,@azure/avm-res-authorization-policyexemption-module-contributors-bicep,
Microsoft.Authorization,policySetDefinitions,Policy Set Definitions (Initiatives) (All scopes),avm-res-authorization-policysetdefinition,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/authorization/policysetdefinition,,46d3xbcp.res.authorization-policysetdefinition,elanzel,Elisa Anzelmo,@azure/avm-res-authorization-policysetdefinition-module-owners-bicep,@azure/avm-res-authorization-policysetdefinition-module-contributors-bicep,
Microsoft.Authorization,roleAssignmentApprovals,Role Assignments (All scopes),avm-res-authorization-roleassignmentapproval,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/authorization/roleassignmentapproval,,46d3xbcp.res.authorization-roleassignmentapproval,ahmadabdalla,Ahmad Abdalla,@azure/avm-res-authorization-roleassignmentapproval-module-owners-bicep,@azure/avm-res-authorization-roleassignmentapproval-module-contributors-bicep,
Microsoft.Authorization,roleDefinitions,Role Definitions (All scopes),avm-res-authorization-roledefinition,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/authorization/roledefinition,,46d3xbcp.res.authorization-roledefinition,ahmadabdalla,Ahmad Abdalla,@azure/avm-res-authorization-roledefinition-module-owners-bicep,@azure/avm-res-authorization-roledefinition-module-contributors-bicep,
Microsoft.Automation,automationAccounts,Automation Accounts,avm-res-automation-automationaccount,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/automation/automationaccount,,46d3xbcp.res.automation-automationaccount,,,@azure/avm-res-automation-automationaccount-module-owners-bicep,@azure/avm-res-automation-automationaccount-module-contributors-bicep,
Microsoft.Batch,batchAccounts,Batch Accounts,avm-res-batch-batchaccount,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/batch/batchaccount,,46d3xbcp.res.batch-batchaccount,,,@azure/avm-res-batch-batchaccount-module-owners-bicep,@azure/avm-res-batch-batchaccount-module-contributors-bicep,
Microsoft.Cache,Redis,Redis Cache,avm-res-cache-redis,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/cache/redis,,46d3xbcp.res.cache-redis,,,@azure/avm-res-cache-redis-module-owners-bicep,@azure/avm-res-cache-redis-module-contributors-bicep,
Microsoft.Cdn,profiles,CDN Profiles,avm-res-cdn-profile,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/cdn/profile,,46d3xbcp.res.cdn-profile,ChrisSidebotham,Chris Sidebotham,@azure/avm-res-cdn-profile-module-owners-bicep,@azure/avm-res-cdn-profile-module-contributors-bicep,
Microsoft.CognitiveServices,accounts,Cognitive Services,avm-res-cognitiveservices-account,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/cognitiveservices/account,,46d3xbcp.res.cognitiveservices-account,,,@azure/avm-res-cognitiveservices-account-module-owners-bicep,@azure/avm-res-cognitiveservices-account-module-contributors-bicep,
Microsoft.Compute,availabilitySets,Availability Sets,avm-res-compute-availabilityset,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/compute/availabilityset,,46d3xbcp.res.compute-availabilityset,ahmadabdalla,Ahmad Abdalla,@azure/avm-res-compute-availabilityset-module-owners-bicep,@azure/avm-res-compute-availabilityset-module-contributors-bicep,
Microsoft.Compute,diskAccesses,Compute Disks,avm-res-compute-diskaccesse,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/compute/diskaccesse,,46d3xbcp.res.compute-diskaccesse,,,@azure/avm-res-compute-diskaccesse-module-owners-bicep,@azure/avm-res-compute-diskaccesse-module-contributors-bicep,
Microsoft.Compute,diskEncryptionSets,Disk Encryption Sets,avm-res-compute-diskencryptionset,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/compute/diskencryptionset,,46d3xbcp.res.compute-diskencryptionset,,,@azure/avm-res-compute-diskencryptionset-module-owners-bicep,@azure/avm-res-compute-diskencryptionset-module-contributors-bicep,
Microsoft.Compute,galleries,Azure Compute Galleries,avm-res-compute-gallery,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/compute/gallery,,46d3xbcp.res.compute-gallery,,,@azure/avm-res-compute-gallerie-module-owners-bicep,@azure/avm-res-compute-gallerie-module-contributors-bicep,
Microsoft.Compute,images,Images,avm-res-compute-image,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/compute/image,,46d3xbcp.res.compute-image,,,@azure/avm-res-compute-image-module-owners-bicep,@azure/avm-res-compute-image-module-contributors-bicep,
Microsoft.Compute,proximityPlacementGroups,Proximity Placement Groups,avm-res-compute-proximityplacementgroup,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/compute/proximityplacementgroup,,46d3xbcp.res.compute-proximityplacementgroup,,,@azure/avm-res-compute-proximityplacementgroup-module-owners-bicep,@azure/avm-res-compute-proximityplacementgroup-module-contributors-bicep,
Microsoft.Compute,sshPublicKeys,Public SSH Keys,avm-res-compute-sshpublickey,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/compute/sshpublickey,,46d3xbcp.res.compute-sshpublickey,ChrisSidebotham,Chris Sidebotham,@azure/avm-res-compute-sshpublickey-module-owners-bicep,@azure/avm-res-compute-sshpublickey-module-contributors-bicep,
Microsoft.Compute,virtualMachines,Virtual Machines,avm-res-compute-virtualmachine,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/compute/virtualmachine,,46d3xbcp.res.compute-virtualmachine,rahalan,Rainer Halanek,@azure/avm-res-compute-virtualmachine-module-owners-bicep,@azure/avm-res-compute-virtualmachine-module-contributors-bicep,
Microsoft.Compute,virtualMachineScaleSets,Virtual Machine Scale Sets,avm-res-compute-virtualmachinescaleset,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/compute/virtualmachinescaleset,,46d3xbcp.res.compute-virtualmachinescaleset,rahalan,Rainer Halanek,@azure/avm-res-compute-virtualmachinescaleset-module-owners-bicep,@azure/avm-res-compute-virtualmachinescaleset-module-contributors-bicep,
Microsoft.Consumption,budgets,Consumption Budgets,avm-res-consumption-budget,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/consumption/budget,,46d3xbcp.res.consumption-budget,,,@azure/avm-res-consumption-budget-module-owners-bicep,@azure/avm-res-consumption-budget-module-contributors-bicep,
Microsoft.ContainerInstance,containerGroups,Container Instances Container Groups,avm-res-containerinstance-containergroup,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/containerinstance/containergroup,,46d3xbcp.res.containerinstance-containergroup,JPEasier,Julian Peißker,@azure/avm-res-containerinstance-containergroup-module-owners-bicep,@azure/avm-res-containerinstance-containergroup-module-contributors-bicep,
Microsoft.ContainerRegistry,registries,Azure Container Registries (ACR),avm-res-containerregistry-registry,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/containerregistry/registry,,46d3xbcp.res.containerregistry-registry,JPEasier,Julian Peißker,@azure/avm-res-containerregistry-registry-module-owners-bicep,@azure/avm-res-containerregistry-registry-module-contributors-bicep,
Microsoft.ContainerService,managedClusters,Azure Kubernetes Service (AKS) Managed Clusters,avm-res-containerservice-managedcluster,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/containerservice/managedcluster,,46d3xbcp.res.containerservice-managedcluster,JPEasier,Julian Peißker,@azure/avm-res-containerservice-managedcluster-module-owners-bicep,@azure/avm-res-containerservice-managedcluster-module-contributors-bicep,
Microsoft.Databricks,workspaces,Azure Databricks Workspaces,avm-res-databricks-workspace,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/databricks/workspace,,46d3xbcp.res.databricks-workspace,,,@azure/avm-res-databricks-workspace-module-owners-bicep,@azure/avm-res-databricks-workspace-module-contributors-bicep,
Microsoft.DataFactory,factories,Data Factories,avm-res-datafactory-factory,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/datafactory/factory,,46d3xbcp.res.datafactory-factory,segraef,Sebastian Graef,@azure/avm-res-datafactory-factory-module-owners-bicep,@azure/avm-res-datafactory-factory-module-contributors-bicep,
Microsoft.DataProtection,backupVaults,Data Protection Backup Vaults,avm-res-dataprotection-backupvault,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/dataprotection/backupvault,,46d3xbcp.res.dataprotection-backupvault,,,@azure/avm-res-dataprotection-backupvault-module-owners-bicep,@azure/avm-res-dataprotection-backupvault-module-contributors-bicep,
Microsoft.DBforMySQL,flexibleServers,DBforMySQL Flexible Servers,avm-res-dbformysql-flexibleserver,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/dbformysql/flexibleserver,,46d3xbcp.res.dbformysql-flexibleserver,,,@azure/avm-res-dbformysql-flexibleserver-module-owners-bicep,@azure/avm-res-dbformysql-flexibleserver-module-contributors-bicep,
Microsoft.DBforPostgreSQL,flexibleServers,DBforPostgreSQL Flexible Servers,avm-res-dbforpostgresql-flexibleserver,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/dbforpostgresql/flexibleserver,,46d3xbcp.res.dbforpostgresql-flexibleserver,,,@azure/avm-res-dbforpostgresql-flexibleserver-module-owners-bicep,@azure/avm-res-dbforpostgresql-flexibleserver-module-contributors-bicep,
Microsoft.DesktopVirtualization,applicationGroups,Azure Virtual Desktop (AVD) Application Groups,avm-res-desktopvirtualization-applicationgroup,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/desktopvirtualization/applicationgroup,,46d3xbcp.res.desktopvirtualization-appgroup,,,@azure/avm-res-desktopvirtualization-applicationgroup-module-owners-bicep,@azure/avm-res-desktopvirtualization-applicationgroup-module-contributors-bicep,
Microsoft.DesktopVirtualization,hostPools,Azure Virtual Desktop (AVD) Host Pools,avm-res-desktopvirtualization-hostpool,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/desktopvirtualization/hostpool,,46d3xbcp.res.desktopvirtualization-hostpool,,,@azure/avm-res-desktopvirtualization-hostpool-module-owners-bicep,@azure/avm-res-desktopvirtualization-hostpool-module-contributors-bicep,
Microsoft.DesktopVirtualization,scalingPlans,Azure Virtual Desktop (AVD) Scaling Plans,avm-res-desktopvirtualization-scalingplan,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/desktopvirtualization/scalingplan,,46d3xbcp.res.desktopvirtualization-scalingplan,,,@azure/avm-res-desktopvirtualization-scalingplan-module-owners-bicep,@azure/avm-res-desktopvirtualization-scalingplan-module-contributors-bicep,
Microsoft.DesktopVirtualization,workspaces,Azure Virtual Desktop (AVD) Workspaces,avm-res-desktopvirtualization-workspace,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/desktopvirtualization/workspace,,46d3xbcp.res.desktopvirtualization-workspace,,,@azure/avm-res-desktopvirtualization-workspace-module-owners-bicep,@azure/avm-res-desktopvirtualization-workspace-module-contributors-bicep,
Microsoft.DevTestLab,labs,DevTest Labs,avm-res-devtestlab-lab,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/devtestlab/lab,,46d3xbcp.res.devtestlab-lab,ahmadabdalla,Ahmad Abdalla,@azure/avm-res-devtestlab-lab-module-owners-bicep,@azure/avm-res-devtestlab-lab-module-contributors-bicep,
Microsoft.DigitalTwins,digitalTwinsInstances,Digital Twins Instances,avm-res-digitaltwins-digitaltwinsinstance,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/digitaltwins/digitaltwinsinstance,,46d3xbcp.res.digitaltwins-digitaltwinsinstance,ChrisSidebotham,Chris Sidebotham,@azure/avm-res-digitaltwins-digitaltwinsinstance-module-owners-bicep,@azure/avm-res-digitaltwins-digitaltwinsinstance-module-contributors-bicep,
Microsoft.DocumentDB,databaseAccountNames,DocumentDB Database Accounts,avm-res-documentdb-databaseaccountname,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/documentdb/databaseaccountname,,46d3xbcp.res.documentdb-databaseaccountname,,,@azure/avm-res-documentdb-databaseaccountname-module-owners-bicep,@azure/avm-res-documentdb-databaseaccountname-module-contributors-bicep,
Microsoft.EventGrid,domains,Event Grid Domains,avm-res-eventgrid-domain,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/eventgrid/domain,,46d3xbcp.res.eventgrid-domain,fabmas,Fabio Masciotra,@azure/avm-res-eventgrid-domain-module-owners-bicep,@azure/avm-res-eventgrid-domain-module-contributors-bicep,
Microsoft.EventGrid,systemTopics,Event Grid System Topics,avm-res-eventgrid-systemtopic,Migrate From CARML :rocket:,https://github.com/Azure/bicep-registry-modules/tree/main/avm/res/eventgrid/systemtopic,,46d3xbcp.res.eventgrid-systemtopic,fabmas,Fabio Masciotra,@azure/avm-res-eventgrid-systemtopic-module-owners-bicep,@azure/avm-res-eventgrid-systemtopic-module-contributors-bicep,
