ModuleDisplayName,AlternativeNames,ModuleName,ModuleStatus,ModuleDescription,PublicRegistryReference,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,FirstPublishedIn
AKS dev,,avm-ptn-aks-dev,Available,AVM pattern Module for AKS dev,https://registry.terraform.io/modules/Azure/avm-ptn-aks-dev/azurerm/latest,ms-henglu,Heng Lu,,,2025-03
AKS economy,,avm-ptn-aks-economy,Available,AVM pattern Module for AKS economy,https://registry.terraform.io/modules/Azure/avm-ptn-aks-economy/azurerm/latest,ms-henglu,Heng Lu,,,2024-11
AKS Enterprise,,avm-ptn-aks-enterprise,Available,AVM pattern Module for AKS Enterprise,https://registry.terraform.io/modules/Azure/avm-ptn-aks-enterprise/azurerm/latest,ms-henglu,Heng Lu,,,2024-11
Azure Kubernetes Service,,avm-ptn-aks-production,Available,AVM pattern Module for Azure Kubernetes Service,https://registry.terraform.io/modules/Azure/avm-ptn-aks-production/azurerm/latest,zioproto,Saverio Proto,,,2025-01
Azure Landing Zone,,avm-ptn-alz,Available,AVM pattern Module for Azure Landing Zone,https://registry.terraform.io/modules/Azure/avm-ptn-alz/azurerm/latest,matt-FFFFFF,Matt White,,,2024-10
ALZ Management,Azure Landing Zones - Management,avm-ptn-alz-management,Available,AVM pattern Module for ALZ Management,https://registry.terraform.io/modules/Azure/avm-ptn-alz-management/azurerm/latest,luke-taylor,Luke Taylor,,,2023-12
AVD Insights,Azure Virtual Desktop Insights,avm-ptn-avd-lza-insights,Available,AVM pattern Module for AVD Insights,https://registry.terraform.io/modules/Azure/avm-ptn-avd-lza-insights/azurerm/latest,jensheerin,Jen Sheerin,cshea-msft,Charles Shea,2024-07
AVD Management Plane,Azure Virtual Desktop Management Plane,avm-ptn-avd-lza-managementplane,Available,AVM pattern Module for AVD Management Plane,https://registry.terraform.io/modules/Azure/avm-ptn-avd-lza-managementplane/azurerm/latest,jensheerin,Jen Sheerin,cshea-msft,Charles Shea,2024-05
AVD Session Host,Azure Virtual Desktop Session Host,avm-ptn-avd-lza-sessionhosts,Proposed,AVM pattern Module for AVD Session Host,,jensheerin,Jen Sheerin,,,
IPAM,IP Address Management,avm-ptn-azure-ipam,Proposed,AVM pattern Module for IPAM,,pagyP,Paul Paginton,,,
Azure Site Recovery VM Replication,,avm-ptn-bcdr-vm-replication,Proposed,AVM pattern Module for Azure Site Recovery VM Replication,,FreddyAyala,Freddy Ayala,,,
CI CD Agents and Runners,,avm-ptn-cicd-agents-and-runners,Available,AVM pattern Module for CI CD Agents and Runners,https://registry.terraform.io/modules/Azure/avm-ptn-cicd-agents-and-runners/azurerm/latest,jaredfholgate,Jared Holgate,,,2024-08
Confidential Compute,,avm-ptn-confidential-compute,Proposed,AVM pattern Module for Confidential Compute,,bjornhofer,Björn Höfer,,,
FinOps Toolkit FinOps Hub,,avm-ptn-finopstoolkit-finopshub,Proposed,AVM pattern Module for FinOps Toolkit FinOps Hub,,didayal,Divyadeep Dayal,,,
Function App and private endpoint-secured Storage,,avm-ptn-function-app-storage-private-endpoints,Available,AVM pattern Module for Function App and private endpoint-secured Storage,https://registry.terraform.io/modules/Azure/avm-ptn-function-app-storage-private-endpoints/azurerm/latest,donovm4,Donovan McCoy,,,2025-04
Private Link Private DNS Zones,,avm-ptn-network-private-link-private-dns-zones,Available,AVM pattern Module for Private Link Private DNS Zones,https://registry.terraform.io/modules/Azure/avm-ptn-network-private-link-private-dns-zones/azurerm/latest,jtracey93,Jack Tracey,,,2024-06
Azure Route Server,,avm-ptn-network-routeserver,Available,AVM pattern Module for Azure Route Server,https://registry.terraform.io/modules/Azure/avm-ptn-network-routeserver/azurerm/latest,jchancellor-ms,Jon Chancellor,,,2024-06
Oracle Exedata Workload,,avm-ptn-odaa,Available,AVM pattern Module for Oracle Exedata Workload,https://registry.terraform.io/modules/Azure/avm-ptn-odaa/azurerm/latest,terrymandin,Terry Mandin,,,2024-10
Policy assignment,,avm-ptn-policyassignment,Available,AVM pattern Module for Policy assignment,https://registry.terraform.io/modules/Azure/avm-ptn-policyassignment/azurerm/latest,bjornhofer,Bjorn Hofer,,,2024-09
