ProviderNamespace,ResourceType,ModuleDisplayName,AlternativeNames,ModuleName,ParentModule,ModuleStatus,RepoURL,PublicRegistryReference,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,Description,Comments,FirstPublishedIn
Microsoft.AAD,domainServices,Azure Active Directory Domain Service,,avm-res-aad-domainservice,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-aad-domainservice,https://registry.terraform.io/modules/Azure/avm-res-aad-domainservice/azurerm/latest,humanascode,Itamar Hirosh,,,AVM Resource Module for Azure Active Directory Domain Service,,
Microsoft.AlertsManagement,actionRules,Action Rules,,avm-res-alertsmanagement-actionrule,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-alertsmanagement-actionrule,https://registry.terraform.io/modules/Azure/avm-res-alertsmanagement-actionrule/azurerm/latest,xsatishx,Satish Balakrishnan,,,AVM Resource Module for Action Rules,,
Microsoft.AnalysisServices,servers,Analysis Services Server,,avm-res-analysisservices-server,n/a,Proposed,https://github.com/Azure/terraform-azurerm-avm-res-analysisservices-server,https://registry.terraform.io/modules/Azure/avm-res-analysisservices-server/azurerm/latest,Bhavyasree08,Bhavyasree Damarla,,,AVM Resource Module for Analysis Services Server,,
Microsoft.ApiManagement,service,API Management Service,,avm-res-apimanagement-service,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-apimanagement-service,https://registry.terraform.io/modules/Azure/avm-res-apimanagement-service/azurerm/latest,swatilekhapaul,Swatilekha Paul,,,AVM Resource Module for API Management Service,,2025-04
Microsoft.AppConfiguration,configurationStores,App Configuration Store,,avm-res-appconfiguration-configurationstore,n/a,Available,https://github.com/Azure/terraform-azure-avm-res-appconfiguration-configurationstore,https://registry.terraform.io/modules/Azure/avm-res-appconfiguration-configurationstore/azure/latest,matt-FFFFFF,Matt White,,,AVM Resource Module for App Configuration Store,,2025-03
Microsoft.App,containerApps,Container App,,avm-res-app-containerapp,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-app-containerapp,https://registry.terraform.io/modules/Azure/avm-res-app-containerapp/azurerm/latest,lonegunmanb,Zijie He,,,AVM Resource Module for Container App,,2024-07
Microsoft.App,Jobs,App Job,,avm-res-app-job,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-app-job,https://registry.terraform.io/modules/Azure/avm-res-app-job/azurerm/latest,sujaypillai,Sujay Pillai,,,AVM Resource Module for App Job,,2025-05
Microsoft.App,managedEnvironments,App Managed Environment,,avm-res-app-managedenvironment,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-app-managedenvironment,https://registry.terraform.io/modules/Azure/avm-res-app-managedenvironment/azurerm/latest,segraef,Sebastian Graef,,,AVM Resource Module for App Managed Environment,,2024-02
Microsoft.Authorization,roleAssignments,Role Assignment,,avm-res-authorization-roleassignment,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-authorization-roleassignment,https://registry.terraform.io/modules/Azure/avm-res-authorization-roleassignment/azurerm/latest,jaredfholgate,Jared Holgate,,,AVM Resource Module for Role Assignment,,2024-01
Microsoft.Automation,automationAccounts,Automation Account,,avm-res-automation-automationaccount,n/a,Available,https://github.com/Azure/terraform-azurerm-avm-res-automation-automationaccount,https://registry.terraform.io/modules/Azure/avm-res-automation-automationaccount/azurerm/latest,didayal-msft,Divyadeep Dayal,Poven795909,Poornima Venkataramanan,AVM Resource Module for Automation Account,,2025-04
