ProviderNamespace;ResourceType;ModuleDisplayName;ModuleName;ModuleStatus;RepoURL;RegistryURL;TelemetryIdPrefix;PrimaryModuleOwnerGHHandle;PrimaryModuleOwnerDisplayName;ModuleOwnerGHTeam;Description
Microsoft.DataFactory;factories;Data Factories;avm-res-datafactory-factory;Migrate From CARML;;;46d3xbcp.res.datafactory-factory;segraef;Sebastian Graef;;
Microsoft.ManagedIdentity;userAssignedIdentities;User Assigned Identities;avm-res-managedidentity-userassignedidentity;Migrate From CARML;;;46d3xbcp.res.managedidentity-userassignedidentity;segraef;Sebastian Graef;;
Microsoft.Network;applicationSecurityGroups;Application Security Groups (ASG);avm-res-network-applicationsecuritygroup;Migrate From CARML;;;46d3xbcp.res.network-applicationsecuritygroup;segraef;Sebastian Graef;;
Microsoft.Network;ddosProtectionPlans;DDoS Protection Plans;avm-res-network-ddosprotectionplan;Migrate From CARML;;;46d3xbcp.res.network-ddosprotectionplan;segraef;Sebastian Graef;;
Microsoft.Network;networkInterfaces;Network Interface;avm-res-network-networkinterface;Migrate From CARML;;;46d3xbcp.res.network-networkinterface;segraef;Sebastian Graef;;
Microsoft.Network;networkWatchers;Network Watchers;avm-res-network-networkwatcher;Migrate From CARML;;;46d3xbcp.res.network-networkwatcher;segraef;Sebastian Graef;;
Microsoft.Network;privateEndpointRedirectMaps;Private Endpoints;avm-res-network-privateendpointredirectmap;Migrate From CARML;;;46d3xbcp.res.network-privateendpointredirectmap;segraef;Sebastian Graef;;
Microsoft.Network;routeTables;Route Tables;avm-res-network-routetable;Migrate From CARML;;;46d3xbcp.res.network-routetable;segraef;Sebastian Graef;;
Microsoft.Resources;resourceGroups;Resource Groups;avm-res-resources-resourcegroup;Migrate From CARML;;;46d3xbcp.res.resources-resourcegroup;segraef;Sebastian Graef;;
Microsoft.Resources;tagNamespaceOperationResults;Resources Tags;avm-res-resources-tagnamespaceoperationresult;Migrate From CARML;;;46d3xbcp.res.resources-tagnamespaceoperationres;segraef;Sebastian Graef;;
Microsoft.Sql;managedInstances;SQL Managed Instances;avm-res-sql-managedinstance;Migrate From CARML;;;46d3xbcp.res.sql-managedinstance;segraef;Sebastian Graef;;
Microsoft.Compute;virtualMachineScaleSets;Virtual Machine Scale Sets;avm-res-compute-virtualmachinescaleset;Migrate From CARML;;;46d3xbcp.res.compute-virtualmachinescaleset;rahalan;Rainer Halanek;;
Microsoft.Compute;virtualMachines;Virtual Machines;avm-res-compute-virtualmachine;Migrate From CARML;https://github.com/Azure/bicep-registry-modules/tree/main/modules/avm/compute/virtual-machine;;46d3xbcp.res.compute-virtualmachine;rahalan;Rainer Halanek;;
Microsoft.Insights;actionGroups;Action Groups;avm-res-insights-actiongroup;Migrate From CARML;;;46d3xbcp.res.insights-actiongroup;rahalan;Rainer Halanek;;
Microsoft.Network;azureFirewallFqdnTags;Azure Firewalls;avm-res-network-azurefirewallfqdntag;Migrate From CARML;;;46d3xbcp.res.network-azurefirewallfqdntag;rahalan;Rainer Halanek;;
Microsoft.Network;expressRouteCircuits;ExpressRoute Circuits;avm-res-network-expressroutecircuit;Migrate From CARML;;;46d3xbcp.res.network-expressroutecircuit;arnoldna;Nate Arnold;;
Microsoft.Network;expressRouteGateways;Express Route Gateways;avm-res-network-expressroutegateway;Migrate From CARML;;;46d3xbcp.res.network-expressroutegateway;arnoldna;Nate Arnold;;
Microsoft.Network;virtualHubs;Virtual Hubs;avm-res-network-virtualhub;Migrate From CARML;;;46d3xbcp.res.network-virtualhub;arnoldna;Nate Arnold;;
Microsoft.Insights;dataCollectionEndpoints;Data Collection Endpoints;avm-res-insights-datacollectionendpoint;Migrate From CARML;;;46d3xbcp.res.insights-datacollectionendpoint;krbar;Kris Baranek;;
Microsoft.Insights;dataCollectionRuleAssociations;Data Collection Rules;avm-res-insights-datacollectionruleassociation;Migrate From CARML;;;46d3xbcp.res.insights-datacollectionruleassoc;krbar;Kris Baranek;;
Microsoft.Network;bastionHosts;Bastion Hosts;avm-res-network-bastionhost;Migrate From CARML;;;46d3xbcp.res.network-bastionhost;krbar;Kris Baranek;;
Microsoft.Network;publicIPAddresses;Public IP Addresses;avm-res-network-publicipaddress;Migrate From CARML;;;46d3xbcp.res.network-publicipaddress;krbar;Kris Baranek;;
Microsoft.Network;publicIPPrefixes;Public IP Prefixes;avm-res-network-publicipprefix;Migrate From CARML;;;46d3xbcp.res.network-publicipprefix;krbar;Kris Baranek;;
Microsoft.OperationalInsights;workspaces;Log Analytics Workspaces;avm-res-operationalinsights-workspace;Migrate From CARML;;;46d3xbcp.res.operationalinsights-workspace;krbar;Kris Baranek;;
Microsoft.ContainerInstance;containerGroups;Container Instances Container Groups;avm-res-containerinstance-containergroup;Migrate From CARML;;;46d3xbcp.res.containerinstance-containergroup;JPEasier;Julian Peißker;;
Microsoft.ContainerRegistry;registries;Azure Container Registries (ACR);avm-res-containerregistry-registry;Migrate From CARML;;;46d3xbcp.res.containerregistry-registry;JPEasier;Julian Peißker;;
Microsoft.ContainerService;managedClusters;Azure Kubernetes Service (AKS) Managed Clusters;avm-res-containerservice-managedcluster;Migrate From CARML;;;46d3xbcp.res.containerservice-managedcluster;JPEasier;Julian Peißker;;
Microsoft.KeyVault;vaults;Key Vaults;avm-res-keyvault-vault;Migrate From CARML;https://github.com/Azure/bicep-registry-modules/tree/main/modules/avm/key-vault/vault;;46d3xbcp.res.keyvault-vault;fblix;Felix Borst;;
Microsoft.Management;managementGroups;Management Groups;avm-res-management-managementgroup;Migrate From CARML;;;46d3xbcp.res.management-managementgroup;fblix;Felix Borst;;
Microsoft.Storage;storageAccounts;Storage Accounts;avm-res-storage-storageaccount;Migrate From CARML;;;46d3xbcp.res.storage-storageaccount;fblix;Felix Borst;;
Microsoft.EventGrid;domains;Event Grid Domains;avm-res-eventgrid-domain;Migrate From CARML;;;46d3xbcp.res.eventgrid-domain;fabmas;Fabio Masciotra;;
Microsoft.EventGrid;systemTopics;Event Grid System Topics;avm-res-eventgrid-systemtopic;Migrate From CARML;;;46d3xbcp.res.eventgrid-systemtopic;fabmas;Fabio Masciotra;;
Microsoft.EventGrid;topics;Event Grid Topics;avm-res-eventgrid-topic;Migrate From CARML;;;46d3xbcp.res.eventgrid-topic;fabmas;Fabio Masciotra;;
Microsoft.Authorization;policyAssignments;Policy Assignments (All scopes);avm-res-authorization-policyassignment;Migrate From CARML;;;46d3xbcp.res.authorization-policyassignment;elanzel;Elisa Anzelmo;;
Microsoft.Authorization;policyDefinitions;Policy Definitions (All scopes);avm-res-authorization-policydefinition;Migrate From CARML;;;46d3xbcp.res.authorization-policydefinition;elanzel;Elisa Anzelmo;;
Microsoft.Authorization;policyExemptions;Policy Exemptions (All scopes);avm-res-authorization-policyexemption;Migrate From CARML;;;46d3xbcp.res.authorization-policyexemption;elanzel;Elisa Anzelmo;;
Microsoft.Authorization;policySetDefinitions;Policy Set Definitions (Initiatives) (All scopes);avm-res-authorization-policysetdefinition;Migrate From CARML;;;46d3xbcp.res.authorization-policysetdefinition;elanzel;Elisa Anzelmo;;
Microsoft.AppConfiguration;configurationStores;App Configuration Stores;avm-res-appconfiguration-configurationstore;Migrate From CARML;;;46d3xbcp.res.appconfiguration-configurationstore;elbatane;Elena Batanero;;
Microsoft.EventHub;namespaces;Event Hub Namespaces;avm-res-eventhub-namespace;Migrate From CARML;;;46d3xbcp.res.eventhub-namespace;elbatane;Elena Batanero;;
Microsoft.Network;virtualNetworkGateways;Virtual Networks;avm-res-network-virtualnetworkgateway;Migrate From CARML;;;46d3xbcp.res.network-virtualnetworkgateway;elbatane;Elena Batanero;;
Microsoft.Cdn;profiles;CDN Profiles;avm-res-cdn-profile;Migrate From CARML;;;46d3xbcp.res.cdn-profile;ChrisSidebotham;Chris Sidebotham;;
Microsoft.Compute;sshPublicKeys;Public SSH Keys;avm-res-compute-sshpublickey;Migrate From CARML;;;46d3xbcp.res.compute-sshpublickey;ChrisSidebotham;Chris Sidebotham;;
Microsoft.DigitalTwins;digitalTwinsInstances;Digital Twins Instances;avm-res-digitaltwins-digitaltwinsinstance;Migrate From CARML;;;46d3xbcp.res.digitaltwins-digitaltwinsinstance;ChrisSidebotham;Chris Sidebotham;;
Microsoft.Network;dnsForwardingRulesets;Dns Forwarding Rulesets;avm-res-network-dnsforwardingruleset;Migrate From CARML;;;46d3xbcp.res.network-dnsforwardingruleset;ChrisSidebotham;Chris Sidebotham;;
